Наименование материала;Тип материала;Изображение;Цена;Количество на складе;Минимальное количество;Количество в упаковке;Единица измерения
Гранулы белый 2x2;Гранулы;не указано;47680.00;76;8;7;л
Нить серый 1x0;Краски;не указано;27456;На складе: 978;42;1;м
Нить белый 1x3;Нитки;не указано;2191 руб.;406 в наличии;27;8;м
Нить цветной 1x1;Краски;\materials\image_5.jpeg;8619;424;10;3;г
Нить цветной 2x0;Краски;отсутствует;16856.00 ₽;395 в наличии;26;2;м
Краска синий 2x2;Краски;не указано;403.00;334;48;6;л
Нить синий 0x2;Нитки;отсутствует;7490 рублей;654;10;9;м
Гранулы серый 2x2;Гранулы;не указано;15478.00 ₽;648 в наличии;17;7;л
Краска синий 1x2;Краски;отсутствует;44490.00;640;50;2;л
Нить зеленый 2x0;Краски;\materials\image_10.jpeg;28301.00 ₽;На складе: 535;45;5;м
Гранулы синий 1x2;Гранулы;не указано;9242;На складе: 680;6;3;кг
Нить синий 3x2;Нитки;отсутствует;10878 рублей;529 в наличии;13;1;м
Краска белый 2x2;Краски;\materials\image_3.jpeg;29906.00;659 в наличии;35;1;л
Краска зеленый 0x3;Краски;не указано;24073 рублей;50 в наличии;48;2;л
Нить зеленый 2x3;Нитки;отсутствует;20057.00;649;25;7;г
Краска белый 2x1;Краски;не указано;3353 рублей;790;8;2;л
Нить серый 2x3;Нитки;не указано;22452 руб.;На складе: 431;40;1;г
Гранулы серый 3x2;Гранулы;нет;29943 руб.;На складе: 96;9;5;л
Краска серый 3x2;Краски;отсутствует;55064.00 ₽;806;50;3;л
Гранулы белый 0x3;Гранулы;нет;7183.00;538 в наличии;11;3;кг
Краска цветной 1x1;Краски;отсутствует;43466 рублей;784 в наличии;22;3;л
Гранулы белый 1x0;Гранулы;нет;27718 рублей;На складе: 980;41;3;кг
Краска серый 0x2;Краски;отсутствует;33227 рублей;679;36;3;кг
Гранулы серый 3x3;Гранулы;нет;15170.00 ₽;2;38;5;л
Краска серый 3x0;Краски;не указано;19352 руб.;341 в наличии;38;7;кг
Гранулы синий 2x1;Гранулы;\materials\image_2.jpeg;231 рублей;273 в наличии;17;9;л
Гранулы синий 0x2;Гранулы;не указано;41646.00;576;36;9;л
Нить цветной 1x0;Нитки;не указано;24948 руб.;91 в наличии;38;5;г
Краска зеленый 2x2;Краски;не указано;19014.00 ₽;На складе: 752;36;2;кг
Краска цветной 1x3;Краски;отсутствует;268.00;730;5;9;кг
Краска серый 2x0;Краски;не указано;35256 рублей;На складе: 131;22;2;л
Нить зеленый 2x1;Нитки;не указано;34556.00;802 в наличии;16;6;м
Краска цветной 0x3;Краски;нет;3322 руб.;324;9;10;л
Нить белый 2x3;Нитки;не указано;10823.00;На складе: 283;41;3;г
Гранулы синий 3x0;Гранулы;не указано;16665;411 в наличии;8;1;кг
Гранулы синий 1x3;Гранулы;нет;5668 руб.;41 в наличии;30;8;л
Нить цветной 2x1;Краски;нет;7615 рублей;150;22;3;м
Гранулы серый 3x0;Гранулы;\materials\image_7.jpeg;702.00;На складе: 0;5;4;л
Краска синий 3x0;Краски;нет;38644.00;523 в наличии;42;7;л
Нить зеленый 0x0;Краски;не указано;41827.00 ₽;На складе: 288;43;8;м
Гранулы белый 1x2;Гранулы;нет;8129;77 в наличии;46;4;л
Краска белый 3x0;Краски;нет;51471 рублей;На складе: 609;48;5;кг
Краска цветной 0x1;Краски;отсутствует;54401.00;43;8;6;л
Нить серый 1x1;Нитки;отсутствует;14474 рублей;На складе: 372;22;5;м
Краска синий 2x1;Краски;нет;46848 руб.;На складе: 642;29;9;л
Нить серый 3x0;Нитки;отсутствует;29503 руб.;На складе: 409;19;1;м
Краска зеленый 3x3;Краски;отсутствует;27710.00 ₽;601 в наличии;32;6;л
Краска синий 2x0;Краски;отсутствует;40074 рублей;На складе: 135;50;7;л
Гранулы синий 2x3;Гранулы;не указано;53482.00 ₽;749 в наличии;45;2;л
Нить синий 0x3;Краски;не указано;32087 руб.;615;22;8;м
Нить синий 3x3;Нитки;отсутствует;45774;На складе: 140;12;7;г
Краска зеленый 2x3;Краски;нет;44978.00;485 в наличии;8;2;л
Нить синий 3x0;Нитки;отсутствует;44407;67 в наличии;23;10;м
